*** Hong Kong (2107) ***
1.   International Commerce Centre, 484m
704 towers: International Commerce Centre, Two International Finance Centre, Central Plaza, Bank of China Tower, The Center, Nina Tower, One Island East, Cheung Kong Centre, Victoria Dockside, The Cullinan I, The Cullinan II, The Masterpiece, Sorrento 1, Langham Place Office Tower, Highcliff, The Harbourside, Lee Garden One, Sorrento 2, Harbourfront Landmark, The Arch, One Taikoo Place, COSCO Tower, The Belcher's Tower 5, The Belcher's Tower 6, Hopewell Centre, The Belcher's Tower 1, The Belcher's Tower 2, Tregunter Tower III, The Summit, Grand Promenade Towers 2-3-5, Sorrento 3, LOHAS Park Le Prestige Tower B, Sun Hung Kai Centre, The Belcher's Tower 3, The Belcher's Tower 8, Shangri-La Hotel, Victoria Towers I, Victoria Towers II, Victoria Towers III, Shining Heights, Sorrento 5, Indi Home, LOHAS Park The Capitol Oslo, LOHAS Park The Capitol Whistler, One International Finance Centre, Grand Promenade Tower 1, Grand Promenade Tower 6, Metro Plaza Tower II, Sorrento 6, LOHAS Park The Capitol Madrid, LOHAS Park The Capitol Milan, Bellagio Tower 1-5, Citibank Plaza 1, May House, Metro Town Tower 1, Metro Town Tower 2, Four Seasons Place, Hysan Place, Island Resort Towers 1 & 2, Island Resort Towers 3 & 5, Island Resort Towers 6 & 7, Island Resort Towers 8 & 9, China Online Centre, LOHAS Park Le Prestige Tower A, LOHAS Park Le Prestige Tower C, LOHAS Park The Capitol Florence, Conrad Hong Kong, Queensway Government Office Building, Le Point Tower 6, Le Point Tower 7, Bellagio Tower 6-9, The Merton 1, Wharf Cable Tower, Aigburth, Le Point Tower 10, Le Point Tower 8, Le Point Tower 9, Vision City Tower 2, Vision City Tower 3, Vision City Tower 5, NatWest Tower, Times Square, Manhattan Hill 1-2, Vision City Tower 1, 39 Conduit Road, Banyan Garden 2, Banyan Garden 6, Banyan Garden 7, The Merton 2, The Centrium, Metro Town Tower 3, Metro Town Tower 5, Exchange Square #1, Exchange Square #2, Oxford House Time Warner, 9 Queen's Road Central, Millennium City 5, Landmark East Tower 1, Landmark East Tower 2, Standard Chartered Bank, Festival City III Tower 5, Entertainment Building, Manhattan Hill 3, Manhattan Hill 5, Manhattan Hill 6, Lippo Tower, The Westpoint, Manhattan Heights, Sino Plaza, AIA Central, Festival City III Tower 1, Festival City III Tower 2, Festival City III Tower 3, Ocean Pointe, Cadogan, Vision City Tower 6, Banyan Garden 5, Branksome Crest, Three Pacific Place, Convention Plaza Office Tower, The Pavilia Bay Tower 1, Liberte 1, Liberte 2, Liberte 3, Immigration Tower, Revenue Tower, AIA Tower, Liberte 5, Liberte 6, The Merton 3, Banyan Garden 3, Hong Kong and Shanghai Banking Corporation Headquarters, Jardine House, China Resources Building, Grand Waterfront 1-5, Grand Waterfront 6, The Oakhill, Azura, Far East Finance Centre, One Kowloon, Billionaire Royale, Oscar by the Sea Tower 5, Vianni Cove 2, Vianni Cove 3, Enterprise Square 3, Tavistock II, Ocean Shores Tower 1-3, Ocean Shores Tower 15, Ocean Shores Tower 16-17, Ocean Shores Tower 5, Ocean Shores Tower 6, Ocean Shores Tower 7, Ocean Shores Tower 8, Ocean Shores Tower 9-10, The Pavilia Bay Tower 2, Metro Plaza Tower I, Enterprise Square 5 / MegaBOX, Queen's Garden, The ONE, The Dynasty 1, The Dynasty 2, Peregrine Tower, Lippo Centre, Dorset House/PCCW Tower, Vianni Cove 1, Ocean Shores Tower 11-13, Metro Harbourview 1, Metro Harbourview 10, Metro Harbourview 2, Metro Harbourview 3, Metro Harbourview 4, Metro Harbourview 5, Metro Harbourview 6, Metro Harbourview 7, Metro Harbourview 8, Metro Harbourview 9, Festival City I Tower 2, Festival City I Tower 3, L'Hotel Nina Tower, Arezzo, Festival City II Tower 5, Festival City II Tower 3, Langham Place Hotel, Albany Cove 6, Albany Cove 7, Albany Cove 8, Caribbean Coast 10, Caribbean Coast 11, Caribbean Coast 12, Caribbean Coast 13, Caribbean Coast 15, Caribbean Coast 9, Monterey Cove 2, Monterey Cove 3, Monterey Cove 5, Oscar by the Sea Tower 8, Summit Terrace 3, Summit Terrace 5, Shell Tower, Times Square, The Avenue Phase 2, T2, The Avenue Phase 2, T3, Residence Oasis 1, Residence Oasis 2, Residence Oasis 3, The Grandiose 1, The Grandiose 2, The Grandiose 3, Hong Kong Plaza, Park Central 1, Park Central 12, Park Central 13, Park Central 2, Park Central 3, Park Central 5, Park Central 6, Oscar by the Sea Tower 6, Oscar by the Sea Tower 7, Festival City I Tower 1, Festival City I Tower 5, The Latitude Tower 6, The Latitude Tower 7, The Latitude Tower 8, The Latitude Tower 1, The Latitude Tower 2, Festival City II Tower 1, Festival City II Tower 2, Asia Pacific Finance Tower, Tierra Verde Tower 10-12, The Palazzo, Summit Terrace 2, La Cite Noble Tower 3, Park Central 11, The Serenade Tower 1, The Serenade Tower 2, Residence Oasis 5, Residence Oasis 6, Residence Oasis 7, Four Seasons Hotel Hong Kong, Lime Stardom, Grand Hyatt Serviced Apartments, Sky Tower 1-2, Sky Tower 3-7, J.W. Marriott and The Upper House, The Gloucester, Seaview Crescent 5, Verbena Heights 3-6, Monterey Cove 1, Upton , One Pacific Heights, La Cite Noble Tower 1, La Cite Noble Tower 4, La Cite Noble Tower 6, Island Crest Tower 1, Island Crest Tower 2, Park Central 10, Park Central 7, Park Central 8, Park Central 9, Banyan Garden 1, Banyan Garden 8, 118 Connaught Road West, One Pacific Place, Seaview Crescent 1-3, Coastal Skyline 1-3,5-6, Tung Chung, Coastal Skyline 7-8, Tung Chung, Les Saisons, Metropolis 1, Metropolis 2, Metropolis 3, Metropolis 5, Belcher's Hill, City Point Tower 1, City Point Tower 2, City Point Tower 3, Island Lodge, One Peking Road, One Wanchai, The Landmark Gloucester Tower, The Landmark Edinburgh Tower, Dynasty Court Tower 1-2, Cambridge House, Galaxia Tower 2, Galaxia Tower 3, Galaxia Tower 5, 148 Electric Road, SOHO 189, Century Gateway 1, La Cite Noble Tower 2, La Cite Noble Tower 5, The Forest Hills, Century Gateway 5, Park Towers One, City Point Tower 5, City Point Tower 6, Summit Terrace 1, Le Sommet, Ellery Terrace, Kowloon, Liberte 7, China Merchants Tower, Shun Tak Centre West, Sunlight Tower, Park Avenue Towers 6-10, Galaxia Tower 1, Galaxia Tower 6, Henley Building, Bank of Communications Tower, Imperial Court Block C, Li Po Chun Chambers, Metro City I Tower 3, Metro City I Tower 4, Metro City I Tower 5, Metro City I Tower 6, Metro City I Tower 1, Metro City I Tower 2, The Panorama, Liberte 8, Century Gateway 2, The Zenith 1, Robinson Place Tower A, York Place, Bayshore Apartments, Thorn Cliff, World Trade Centre, Nan Fung Plaza 1, Nan Fung Plaza 2, New World Tower 1, Century Gateway 6, 31 Robinson Road, Oscar by The Sea Tower 3, Dynasty Court Tower 3-5, Skyline Tower, East Point City Tower 1, East Point City Tower 2, East Point City Tower 3, East Point City Tower 5, East Point City Tower 6, East Point City Tower 7, East Point City Tower 8, Queen's Terrace 1, Royal Penisula 2-5, Harbour One, Sun Tuen Mun Centre 1, Sun Tuen Mun Centre 10, Sun Tuen Mun Centre 2, Sun Tuen Mun Centre 3, Sun Tuen Mun Centre 4, Sun Tuen Mun Centre 5, Sun Tuen Mun Centre 6, Sun Tuen Mun Centre 7, Sun Tuen Mun Centre 8, Sun Tuen Mun Centre 9, Robinson Place Tower B, Broadview Villa, VISTA, Manulife Tower, Serenity Place 1, Serenity Place 2, Serenity Place 4, Serenity Place 5, Broadview Court 3, Broadview Court 4, Renaissance Harbour View Hotel, Maritime Bay 1, Maritime Bay 2, Hong Kong Sanitorium & Hospital - Li Shu Pui Block, Villa Esplanada 10, Villa Esplanada 11, Villa Esplanada 8, Villa Esplanada 9, City Point Tower 7, City Point Tower 8, Bel Air Heights 1, Bel Air Heights 2, Birchwood Place, Century Gateway 3, Park Avenue Tower 1, Park Avenue Tower 2, Park Avenue Tower 3, Park Avenue Tower 5, Radiant Towers 1, Radiant Towers 2, The Colonnade, Serenity Place 3, The Zenith 2, The Zenith 3, Bank of America Tower, Great Eagle Centre, Harbour Centre, MLC Millennia Plaza, Kornville Tower 1, Kornville Tower 2, Grand Terrace, Century Gateway 7, Tierra Verde 1, The Pinnacle 1, The Pinnacle 2, The Pinnacle 3, The Pinnacle 4, Broad View Villa, New Haven 1-3, Western Harbour Centre, Three Exchange Square, Broadview Court 1, Broadview Court 2, iSQUARE, Discovery Park Tower 1, Discovery Park Tower 2, Discovery Park Tower 3, Discovery Park Tower 5, Villa Esplanada 3, Villa Esplanada 5, Villa Esplanada 6, Villa Esplanada 7, Dah Sing Financial Centre, The Waterfront 1, The Waterfront 2, The Waterfront 3, The Waterfront 5, The Waterfront 6, The Waterfront 7, Sing Pao Centre, 633 Kings Road, Tierra Verde 2, Tierra Verde 3, Tierra Verde 3A, Tierra Verde 5, The Manhattan, Windsor House, Morrison Plaza, Well On Garden 1, Well On Garden 2, Well On Garden 3, Well On Garden 4, Oscar by The Sea Tower 1, Nan Fung Plaza 5, Ibis Hong Kong Central and Sheung Wan Hotel, Villa Esplanada 1, Villa Esplanada 2, Oscar by the Sea Tower 2, Nan Fung Plaza 6, Lexington Hill, Imperial Cullinan Tower 1, Imperial Cullinan Tower 2, Imperial Cullinan Tower 3, Imperial Cullinan Tower 5, Imperial Cullinan Tower 8, United Centre, Larvotto Towers 1, 2, Larvotto Towers 3, 5, 6, 7, Millennium City 1 - Tower 1, Century Gateway 8, Argenta, Princeton Tower, Wu Chung House, East, AIA Financial Centre, The Avenue Phase 2, T1, Kerry Centre, Millennium City 1 - Standard Chartered Tower, Two Chinachem Central, Berkshire House, 50 Connaught Road Central, Chater House, Queen Mary Hospital Block K, Nan Fung Plaza 3, Tierra Verde 9, Larvotto Towers 8, 9, 10, Metro City II Tower 1, Metro City II Tower 10, Metro City II Tower 11, Metro City II Tower 2, Metro City II Tower 3, Metro City II Tower 4, Metro City II Tower 5, Metro City II Tower 6, Metro City II Tower 7, Metro City II Tower 8, Metro City II Tower 9, Wan Chai Tower, OLIV, Top Glory Tower, Pacific View 1-5, 9 Des Voeux Road West, Tierra Verde 7, Tierra Verde 8, One Chinachem Central, Regence Royale Tower II, Regence Royale Tower I, Lai Tin House, Tai Tin House, Grand Hyatt Hong Kong, Queen's Terrace 3, Best Western Hotel Harbour View, Guangdong Finance Centre, Queen's Terrace 2, Mung Ching House, Sheung Ching House, Tierra Verde 6, Discovery Park Tower 10, Discovery Park Tower 11, Discovery Park Tower 12, Discovery Park Tower 13, Discovery Park Tower 6, Discovery Park Tower 7, Discovery Park Tower 8, Discovery Park Tower 9, Bank of China Centre, LHT Tower, Verbena Heights 1-2, Park Towers Two, The Gateway Tower 1, The Gateway Tower 2, The Gateway Tower 3, The Gateway Tower 5, The Gateway Tower 6, Yau Lai Estate Cheuk Lai House, Yau Lai Estate Yung Lai House, Choi Man House-Yee Man House, The Pavilia Hill Tower 3, The Pavilia Hill Tower 1, The Pavilia Hill Tower 2, The Pavilia Hill Tower 5, The Pavilia Hill Tower 6, Oi Chak House, Oi Ping House, King Man House, Sik Man House, Yat Man House, The Royal Court, Ching Chak House, Ching Chiu House, Ching Chung House, Ching Hin House, Ching Long House, Ching Ping House, Ching Yu House, Ching Yun House, Kwun Hei Court Block A, Hoi Yan House, Shing Tin House and Cheung Tin House, CITIC Tower, Lee Garden Two, H Queen's, Arsenal House West Wing, Central Government Offices, The Excelsior, Hong Ching House, Lok Ching House, Yan Ching House, CITÉ 33, Tak Cheung House, Tak Kei House, Tak Loong House, Tak Shan House, Tak Sui House, Tak Ying House, Tak Yiu House, Tak Yu House, Verbena Heights 7, Green Code Towers 1-2, Green Code Towers 3, Green Code Towers 5, Oi Yat House, MOD 595, Hung Yan House, Hung Yiu House, Forfar, Shui On Centre, Hung Yat House, Devon House, Yiu Fook House, Yiu Fu House, Yiu Lok House, Yiu Wah House, Fuk Lok House, Fuk On House, Hing Cho House, Hing Fung House, Hing Hong House, Tung Lam Court, Yuet Ching House, 33-49 Des Voeux Road West, 99 Bonham, High Point, Hoi Ning House-Hoi Nam House, Hoi Wen House, Hotel ICON, Cubus Building, Hotel Indigo Hong Kong Island, Chinese People`s Liberation Army Forces Hong Kong Building, Bedford 28, Tak Pui House, The Avenue Phase 1, T5, Tregunter Tower 1, Tregunter Tower 2, Pearl City Mansion, Cheung Chi House, Cheung Tak House, Tuen Mun Town Plaza Block 8, Academic 3, City University of Hong Kong, Lincoln House, Kwun Tong 223, Dragon Pride, Cityplaza 1, The Beacon, SKYPARK, J Hotel @ Jervois Street, Oi Yuk House, Hung Sing House, Southern Lodge, Trade and Industry Tower, Lee Garden Five, THE MOOD Lyndhurst, Wan Tin House, M+, Hong Kong Poly Technic University Community College, Hung Hom Campus, Cornwall House, Best Western Hotel Tsim Sha Tsui, Warwick House, 100 Queens Road Central, The Lily Repulse Bay, The Murray, The Hong Kong Club Building, Banyan Mansion, Kin On Mansion, Ko On Mansion, Pine Mansion, Hing On Mansion, Ning On Mansion, Po On Mansion, Shun On Mansion, Oi Sin House, Leighton Centre, Ruttenjee Hospital, ICAC Headquarters Building, Fuk Tai House, Lee Garden Six, Cityplaza 4, One Hysan Avenue, Cityplaza 3, Prince of Wales Hospital, Yiu Hing House, Mount Parker Residences, Foong Shan Mansion, Fu Shan Mansion, Fu Shan Mansion, Heng Shan Mansion, Kam Shan Mansion, Loong Shan Mansion, Lu Shan Mansion, Nan Shan Mansion, Po Shan Mansion, Tai Shan Mansion, Tien Shan Mansion, Tung Shan Mansion, Wah Shan Mansion, Yee Shan Mansion, Begonia Mansion, Lotus Mansion, Marigold Mansion, Nam Hoi Mansion, Pak Hoi Mansion, Primrose Mansion, Tung Hoi Mansion, Wisteria Mansion, Po Yang Mansion, Tai Woo Mansion, Tung Ting Mansion, Juniper Mansion, Maple Mansion, Oak Mansion, Willow Mansion, Cheung King-Cheung Shun House, Cheung Lok-Cheung Wo House, Cheung Yue-Cheung Fung House, Choi Wah House, Choi Wu House, Chi Sing Mansion, Hang Sing Mansion, Hoi Sing Mansion, Kam Sing Mansion, Ngan Sing Mansion, Tien Sing Mansion, Wai Sing Mansion, Yiu Sing Mansion, Choi Tien Mansion, Fu Tien Mansion, Heng Tien Mansion, Hoi Tien Mansion, Kai Tien Mansion, King Tien Mansion, Kwan Tien Mansion, Nam Tien Mansion, Yat Tien Mansion, Chai Kung Mansion, Han Kung Mansion, Hsia Kung Mansion, Ming Kung Mansion, Tang Kung Mansion, Tsui Kung Mansion, Yen Kung Mansion, Yuan Kung Mansion, Dragon View Garden, Oi Po House, PolyU West Kowloon Campus, St. John's Building
Tiers: I: 105, II: 247, III: 310, IV: 35, V: 6, VI: 1
Rating: 2107 (0.0% uncompleted)
Scraped on: 2019-Jan-20 16:05:16

*** International Commerce Centre ***
Height: 484
Floors: 108
Status: Completed
Started: 2002
Completed: 2010
Functions: hotel / office
Rank: 1

*** Two International Finance Centre ***
Height: 412
Floors: 88
Status: Completed
Started: 2000
Completed: 2003
Functions: office
Rank: 2

*** Central Plaza ***
Height: 373.9
Floors: 78
Status: Completed
Started: 1989
Completed: 1992
Functions: office
Rank: 3

*** Bank of China Tower ***
Height: 367.4
Floors: 72
Status: Completed
Started: 1985
Completed: 1990
Functions: office
Rank: 4

*** The Center ***
Height: 346
Floors: 73
Status: Completed
Started: 1995
Completed: 1998
Functions: office
Rank: 5

*** Nina Tower ***
Height: 320.4
Floors: 80
Status: Completed
Started: 1999
Completed: 2006
Functions: hotel / office
Rank: 6

*** One Island East ***
Height: 298.1
Floors: 68
Status: Completed
Completed: 2008
Functions: office
Rank: 7

*** Cheung Kong Centre ***
Height: 282.83
Floors: 63
Status: Completed
Completed: 1999
Functions: office
Rank: 8

*** Victoria Dockside ***
Height: 273.54
Floors: 66
Status: Completed
Started: 2013
Completed: 2017
Functions: hotel / office
Rank: 9

*** The Cullinan I ***
Height: 269.92
Floors: 68
Status: Completed
Completed: 2008
Functions: residential
Rank: 10

*** The Cullinan II ***
Height: 269.92
Floors: 68
Status: Completed
Completed: 2008
Functions: residential / hotel
Rank: 10

*** The Masterpiece ***
Height: 256.97
Floors: 64
Status: Completed
Started: 2000
Completed: 2009
Functions: residential / hotel
Rank: 12

*** Sorrento 1 ***
Height: 256.39
Floors: 75
Status: Completed
Started: 2000
Completed: 2003
Functions: residential
Rank: 13

*** Langham Place Office Tower ***
Height: 255.05
Floors: 59
Status: Completed
Completed: 2004
Functions: office
Rank: 14

*** Highcliff ***
Height: 252.3
Floors: 73
Status: Completed
Started: 2000
Completed: 2003
Functions: residential
Rank: 15

*** The Harbourside ***
Height: 251.16
Floors: 73
Status: Completed
Started: 2000
Completed: 2003
Functions: residential
Rank: 16

*** Lee Garden One ***
Height: 240.35
Floors: 50
Status: Completed
Started: 1996
Completed: 1998
Functions: office
Rank: 17

*** Sorrento 2 ***
Height: 235.71
Floors: 66
Status: Completed
Started: 2000
Completed: 2003
Functions: residential
Rank: 18

*** Harbourfront Landmark ***
Height: 232.6
Floors: 69
Status: Completed
Started: 1998
Completed: 2003
Functions: residential
Rank: 19

*** The Arch ***
Height: 231
Floors: 65
Status: Completed
Started: 2001
Completed: 2005
Functions: residential
Rank: 20

*** One Taikoo Place ***
Height: 228.6
Floors: 48
Status: Completed
Started: 2015
Completed: 2018
Functions: office
Rank: 21

*** COSCO Tower ***
Height: 228
Floors: 52
Status: Completed
Completed: 1997
Functions: office
Rank: 22

*** The Belcher's Tower 5 ***
Height: 226.73
Floors: 61
Status: Completed
Started: 2000
Completed: 2001
Functions: residential
Rank: 23

*** The Belcher's Tower 6 ***
Height: 226.73
Floors: 61
Status: Completed
Started: 2000
Completed: 2001
Functions: residential
Rank: 23

*** Hopewell Centre ***
Height: 222
Floors: 64
Status: Completed
Started: 1977
Completed: 1981
Functions: office
Rank: 25

*** The Belcher's Tower 1 ***
Height: 220.58
Floors: 63
Status: Completed
Started: 1998
Completed: 2000
Functions: residential
Rank: 26

*** The Belcher's Tower 2 ***
Height: 220.58
Floors: 63
Status: Completed
Started: 1999
Completed: 2000
Functions: residential
Rank: 26

*** Tregunter Tower III ***
Height: 219.9
Floors: 68
Status: Completed
Started: 1991
Completed: 1993
Functions: residential
Rank: 28

*** The Summit ***
Height: 219.8
Floors: 69
Status: Completed
Started: 1996
Completed: 2002
Functions: residential
Rank: 29

*** Grand Promenade Towers 2-3-5 ***
Height: 218.85
Floors: 66
Status: Completed
Started: 2002
Completed: 2005
Functions: residential
Rank: 30

*** Sorrento 3 ***
Height: 218.01
Floors: 64
Status: Completed
Started: 2000
Completed: 2003
Functions: residential
Rank: 31

*** LOHAS Park Le Prestige Tower B ***
Height: 215
Floors: 70
Status: Completed
Started: 2008
Completed: 2011
Functions: residential
Rank: 32

*** Sun Hung Kai Centre ***
Height: 214.5
Floors: 56
Status: Completed
Completed: 1991
Functions: office
Rank: 33

*** The Belcher's Tower 3 ***
Height: 214.43
Floors: 61
Status: Completed
Started: 1999
Completed: 2000
Functions: residential
Rank: 34

*** The Belcher's Tower 8 ***
Height: 214.43
Floors: 61
Status: Completed
Started: 2000
Completed: 2001
Functions: residential
Rank: 34

*** Shangri-La Hotel ***
Height: 213.13
Floors: 57
Status: Completed
Started: 1986
Completed: 1991
Functions: hotel
Rank: 36

*** Victoria Towers I ***
Height: 213
Floors: 62
Status: Completed
Started: 2000
Completed: 2003
Functions: residential
Rank: 37

*** Victoria Towers II ***
Height: 213
Floors: 62
Status: Completed
Started: 2000
Completed: 2003
Functions: residential
Rank: 37

*** Victoria Towers III ***
Height: 213
Floors: 62
Status: Completed
Started: 2000
Completed: 2003
Functions: residential
Rank: 37

*** Shining Heights ***
Height: 213
Floors: 55
Status: Completed
Started: 2006
Completed: 2009
Functions: residential
Rank: 40

*** Sorrento 5 ***
Height: 212.11
Floors: 62
Status: Completed
Started: 2000
Completed: 2003
Functions: residential
Rank: 41

*** Indi Home ***
Height: 212
Floors: 56
Status: Completed
Completed: 2005
Functions: residential
Rank: 42

*** LOHAS Park The Capitol Oslo ***
Height: 210
Floors: 69
Status: Completed
Started: 2006
Completed: 2009
Functions: residential
Rank: 43

*** LOHAS Park The Capitol Whistler ***
Height: 210
Floors: 69
Status: Completed
Started: 2006
Completed: 2009
Functions: residential
Rank: 43

*** One International Finance Centre ***
Height: 210
Floors: 38
Status: Completed
Completed: 1999
Functions: office
Rank: 45

*** Grand Promenade Tower 1 ***
Height: 209
Floors: 63
Status: Completed
Started: 2002
Completed: 2005
Functions: residential
Rank: 46

*** Grand Promenade Tower 6 ***
Height: 209
Floors: 63
Status: Completed
Started: 2002
Completed: 2005
Functions: residential
Rank: 46

*** Metro Plaza Tower II ***
Height: 208.93
Floors: 47
Status: Completed
Completed: 1992
Functions: office
Rank: 48

*** Sorrento 6 ***
Height: 206.11
Floors: 60
Status: Completed
Started: 2000
Completed: 2003
Functions: residential
Rank: 49

*** LOHAS Park The Capitol Madrid ***
Height: 206
Floors: 67
Status: Completed
Started: 2006
Completed: 2009
Functions: residential
Rank: 50

*** LOHAS Park The Capitol Milan ***
Height: 206
Floors: 67
Status: Completed
Started: 2006
Completed: 2009
Functions: residential
Rank: 50

*** Bellagio Tower 1-5 ***
Height: 206
Floors: 64
Status: Completed
Completed: 2005
Functions: residential
Rank: 52

*** Citibank Plaza 1 ***
Height: 205.5
Floors: 51
Status: Completed
Started: 1989
Completed: 1992
Functions: office
Rank: 53

*** May House ***
Height: 205.5
Floors: 47
Status: Completed
Started: 2002
Completed: 2004
Functions: government
Rank: 54

*** Metro Town Tower 1 ***
Height: 205
Floors: 62
Status: Completed
Completed: 2006
Functions: residential
Rank: 55

*** Metro Town Tower 2 ***
Height: 205
Floors: 62
Status: Completed
Completed: 2006
Functions: residential
Rank: 55

*** Four Seasons Place ***
Height: 205
Floors: 55
Status: Completed
Started: 2002
Completed: 2005
Functions: residential / hotel
Rank: 57

*** Hysan Place ***
Height: 204.13
Floors: 36
Status: Completed
Started: 2009
Completed: 2012
Functions: office / retail
Rank: 58

*** Island Resort Towers 1 & 2 ***
Height: 202.15
Floors: 60
Status: Completed
Started: 1999
Completed: 2001
Functions: residential
Rank: 59

*** Island Resort Towers 3 & 5 ***
Height: 202.15
Floors: 60
Status: Completed
Started: 1999
Completed: 2001
Functions: residential
Rank: 59

*** Island Resort Towers 6 & 7 ***
Height: 202.15
Floors: 60
Status: Completed
Started: 1999
Completed: 2001
Functions: residential
Rank: 59

*** Island Resort Towers 8 & 9 ***
Height: 202.15
Floors: 60
Status: Completed
Started: 1999
Completed: 2001
Functions: residential
Rank: 59

*** China Online Centre ***
Height: 201.25
Floors: 52
Status: Completed
Started: 1998
Completed: 2000
Functions: office
Rank: 63

*** LOHAS Park Le Prestige Tower A ***
Height: 200
Floors: 65
Status: Completed
Started: 2007
Completed: 2010
Functions: residential
Rank: 64

*** LOHAS Park Le Prestige Tower C ***
Height: 200
Floors: 65
Status: Completed
Completed: 2012
Functions: residential
Rank: 64

*** LOHAS Park The Capitol Florence ***
Height: 200
Floors: 65
Status: Completed
Started: 2006
Completed: 2009
Functions: residential
Rank: 64

*** Conrad Hong Kong ***
Height: 198.93
Floors: 61
Status: Completed
Started: 1986
Completed: 1990
Functions: hotel / residential
Rank: 67

*** Queensway Government Office Building ***
Height: 198.65
Floors: 47
Status: Completed
Completed: 1985
Functions: office
Rank: 68

*** Le Point Tower 6 ***
Height: 198.25
Floors: 60
Status: Completed
Completed: 2008
Functions: residential
Rank: 69

*** Le Point Tower 7 ***
Height: 198.25
Floors: 60
Status: Completed
Completed: 2008
Functions: residential
Rank: 69

*** Bellagio Tower 6-9 ***
Height: 198
Floors: 60
Status: Completed
Completed: 2002
Functions: residential
Rank: 71

*** The Merton 1 ***
Height: 197
Floors: 59
Status: Completed
Started: 1998
Completed: 2005
Functions: residential
Rank: 72

*** Wharf Cable Tower ***
Height: 196.56
Floors: 41
Status: Completed
Started: 1992
Completed: 1993
Functions: office
Rank: 73

*** Aigburth ***
Height: 195.88
Floors: 48
Status: Completed
Started: 1997
Completed: 1999
Functions: residential
Rank: 74

*** Le Point Tower 10 ***
Height: 195
Floors: 59
Status: Completed
Completed: 2008
Functions: residential
Rank: 75

*** Le Point Tower 8 ***
Height: 195
Floors: 59
Status: Completed
Completed: 2008
Functions: residential
Rank: 75

*** Le Point Tower 9 ***
Height: 195
Floors: 59
Status: Completed
Completed: 2008
Functions: residential
Rank: 75

*** Vision City Tower 2 ***
Height: 195
Floors: 54
Status: Completed
Completed: 2007
Functions: residential
Rank: 78

*** Vision City Tower 3 ***
Height: 195
Floors: 54
Status: Completed
Completed: 2007
Functions: residential
Rank: 78

*** Vision City Tower 5 ***
Height: 195
Floors: 54
Status: Completed
Completed: 2007
Functions: residential
Rank: 78

*** NatWest Tower, Times Square ***
Height: 193.9
Floors: 46
Status: Completed
Completed: 1993
Functions: office / retail
Rank: 81

*** Manhattan Hill 1-2 ***
Height: 193
Floors: 51
Status: Completed
Completed: 2007
Functions: residential
Rank: 82

*** Vision City Tower 1 ***
Height: 192
Floors: 53
Status: Completed
Completed: 2007
Functions: residential
Rank: 83

*** 39 Conduit Road ***
Height: 191.57
Floors: 42
Status: Completed
Started: 2003
Completed: 2009
Functions: residential
Rank: 84

*** Banyan Garden 2 ***
Height: 191.4
Floors: 57
Status: Completed
Started: 2001
Completed: 2003
Functions: residential
Rank: 85

*** Banyan Garden 6 ***
Height: 191.4
Floors: 57
Status: Completed
Started: 2001
Completed: 2003
Functions: residential
Rank: 85

*** Banyan Garden 7 ***
Height: 191.4
Floors: 57
Status: Completed
Started: 2001
Completed: 2003
Functions: residential
Rank: 85

*** The Merton 2 ***
Height: 189
Floors: 56
Status: Completed
Started: 1998
Completed: 2005
Functions: residential
Rank: 88

*** The Centrium ***
Height: 188.85
Floors: 41
Status: Completed
Started: 1999
Completed: 2001
Functions: office
Rank: 89

*** Metro Town Tower 3 ***
Height: 188
Floors: 57
Status: Completed
Completed: 2006
Functions: residential
Rank: 90

*** Metro Town Tower 5 ***
Height: 188
Floors: 57
Status: Completed
Completed: 2006
Functions: residential
Rank: 90

*** Exchange Square #1 ***
Height: 188
Floors: 52
Status: Completed
Started: 1982
Completed: 1985
Functions: office
Rank: 92

*** Exchange Square #2 ***
Height: 188
Floors: 52
Status: Completed
Started: 1982
Completed: 1985
Functions: office
Rank: 92

*** Oxford House Time Warner ***
Height: 188
Floors: 41
Status: Completed
Started: 1997
Completed: 1999
Functions: office
Rank: 94

*** 9 Queen's Road Central ***
Height: 187.26
Floors: 39
Status: Completed
Started: 1989
Completed: 1991
Functions: office
Rank: 95

*** Millennium City 5 ***
Height: 187
Floors: 45
Status: Completed
Started: 2002
Completed: 2004
Functions: office
Rank: 96

*** Landmark East Tower 1 ***
Height: 187
Floors: 43
Status: Completed
Started: 2006
Completed: 2008
Functions: office
Rank: 97

*** Landmark East Tower 2 ***
Height: 187
Floors: 43
Status: Completed
Started: 2006
Completed: 2008
Functions: hotel / office
Rank: 97

*** Standard Chartered Bank ***
Height: 187
Floors: 42
Status: Completed
Started: 1987
Completed: 1990
Functions: office
Rank: 99

*** Festival City III Tower 5 ***
Height: 186.5
Floors: 58
Status: Completed
Started: 2009
Completed: 2011
Functions: residential
Rank: 100

*** Entertainment Building ***
Height: 186.45
Floors: 32
Status: Completed
Completed: 1993
Functions: office
Rank: 101

*** Manhattan Hill 3 ***
Height: 186.4
Floors: 48
Status: Completed
Completed: 2007
Functions: residential
Rank: 102

*** Manhattan Hill 5 ***
Height: 186.4
Floors: 48
Status: Completed
