*** Hong Kong (2107) ***
1.   International Commerce Centre, 484m
189. Caribbean Coast 15, 170m
190. Caribbean Coast 9, 170m
191. Monterey Cove 2, 170m
192. Monterey Cove 3, 170m
193. Monterey Cove 5, 170m
194. Oscar by the Sea Tower 8, 169m
195. Summit Terrace 3, 169m
196. Summit Terrace 5, 169m
197. Shell Tower, Times Square, 169m
198. The Avenue Phase 2, T2, 169m
199. The Avenue Phase 2, T3, 169m
200. Residence Oasis 1, 168m
201. Residence Oasis 2, 168m
202. Residence Oasis 3, 168m
203. The Grandiose 1, 168m
204. The Grandiose 2, 168m
205. The Grandiose 3, 168m
206. Hong Kong Plaza, 168m
207. Park Central 1, 168m
208. Park Central 12, 168m
209. Park Central 13, 168m
210. Park Central 2, 168m
211. Park Central 3, 168m
212. Park Central 5, 168m
213. Park Central 6, 168m
214. Oscar by the Sea Tower 6, 168m
215. Oscar by the Sea Tower 7, 168m
216. Festival City I Tower 1, 167m
217. Festival City I Tower 5, 167m
218. The Latitude Tower 6, 167m
219. The Latitude Tower 7, 167m
220. The Latitude Tower 8, 167m
221. The Latitude Tower 1, 167m
222. The Latitude Tower 2, 167m
223. Festival City II Tower 1, 167m
224. Festival City II Tower 2, 167m
225. Asia Pacific Finance Tower, 167m
226. Tierra Verde Tower 10-12, 167m
227. The Palazzo, 166m
228. Summit Terrace 2, 166m
229. La Cite Noble Tower 3, 166m
230. Park Central 11, 165m
231. The Serenade Tower 1, 165m
232. The Serenade Tower 2, 165m
233. Residence Oasis 5, 165m
234. Residence Oasis 6, 165m
235. Residence Oasis 7, 165m
236. Four Seasons Hotel Hong Kong, 165m
237. Lime Stardom, 165m
238. Grand Hyatt Serviced Apartments, 165m
239. Sky Tower 1-2, 165m
240. Sky Tower 3-7, 165m
241. J.W. Marriott and The Upper House, 164m
242. The Gloucester, 164m
243. Seaview Crescent 5, 164m
244. Verbena Heights 3-6, 164m
245. Monterey Cove 1, 164m
246. Upton , 163m
247. One Pacific Heights, 163m
248. La Cite Noble Tower 1, 163m
249. La Cite Noble Tower 4, 163m
250. La Cite Noble Tower 6, 163m
251. Island Crest Tower 1, 163m
252. Island Crest Tower 2, 163m
253. Park Central 10, 162m
254. Park Central 7, 162m
255. Park Central 8, 162m
256. Park Central 9, 162m
257. Banyan Garden 1, 162m
258. Banyan Garden 8, 162m
259. 118 Connaught Road West, 162m
260. One Pacific Place, 162m
261. Seaview Crescent 1-3, 161m
262. Coastal Skyline 1-3,5-6, Tung Chung, 161m
263. Coastal Skyline 7-8, Tung Chung, 161m
264. Les Saisons, 160m
265. Metropolis 1, 160m
266. Metropolis 2, 160m
267. Metropolis 3, 160m
268. Metropolis 5, 160m
269. Belcher's Hill, 160m
270. City Point Tower 1, 160m
271. City Point Tower 2, 160m
272. City Point Tower 3, 160m
273. Island Lodge, 160m
274. One Peking Road, 160m
275. One Wanchai, 160m
276. The Landmark Gloucester Tower, 159m
277. The Landmark Edinburgh Tower, 159m
278. Dynasty Court Tower 1-2, 159m
279. Cambridge House, 159m
280. Galaxia Tower 2, 158m
281. Galaxia Tower 3, 158m
282. Galaxia Tower 5, 158m
283. 148 Electric Road, 158m
284. SOHO 189, 158m
285. Century Gateway 1, 158m
286. La Cite Noble Tower 2, 157m
287. La Cite Noble Tower 5, 157m
288. The Forest Hills, 157m
289. Century Gateway 5, 157m
290. Park Towers One, 157m
291. City Point Tower 5, 157m
292. City Point Tower 6, 157m
293. Summit Terrace 1, 157m
294. Le Sommet, 157m
295. Ellery Terrace, Kowloon, 156m
296. Liberte 7, 156m
297. China Merchants Tower, 156m
298. Shun Tak Centre West, 156m
299. Sunlight Tower, 156m
300. Park Avenue Towers 6-10, 156m
301. Galaxia Tower 1, 155m
302. Galaxia Tower 6, 155m
303. Henley Building, 155m
