*** Toronto (934) ***
204. Apex West, 117m
205. Royal Pinnacle, 117m
206. Concord Cityplace Parade Tower V, 116m
207. City Lights on Broadway I, 116m
208. City Lights on Broadway II, 116m
209. 1001 Bay, 115m
210. Bank of Nova Scotia, 115m
211. Number One York Quay North, 115m
212. King Charlotte Condos, 115m
213. Waterparkcity, 114m
214. Bloorvista, 114m
215. The 500 Sherbourne, 114m
216. The Chrysler East Tower, 114m
217. The Chrysler West Tower, 114m
218. The Mercer, 113m
219. Residences of the World Trade Centre North East Tower, 113m
220. Murano North Tower, 113m
221. MaRS Discovery Centre West, 113m
222. Zurich Centre, 112m
223. Emerald Park West, 112m
224. One Queen Street East, 112m
225. Ryerson Church Street Development, 112m
226. Royal Bank Plaza North, 112m
227. Jade Waterfront Condos, 112m
228. Lumiere Condos, 111m
229. One Valhalla - Thunderbird, 111m
230. Minto 30 Roe, 111m
231. Platinum XO, 111m
232. The Platinum Tower, 111m
233. Ultima, 111m
234. Westin Harbour Castle North, 111m
235. Marina del Rey Phase 3, 111m
236. The Madison East, 111m
237. 1 Dundas, 111m
238. Market Wharf, 111m
239. WaterPark Place North, 111m
240. Boutique Condominium East, 110m
241. York Centre, 110m
242. Concorde Park North, 110m
243. Concorde Park South, 110m
244. Accolade, 110m
245. Windermere NXT II, 110m
246. Ellipse East, 110m
247. Ellipse West, 110m
248. Four Seasons Private Residences East Tower, 110m
249. Sun Life Financial Centre West Tower, 110m
250. Invesco Tower, 110m
251. Standard Life Centre, 110m
252. eq1 at Equinox, 110m
253. One Bedford, 109m
254. James Cooper Mansion, 109m
255. Heathview Apartments North, 109m
256. Heathview Apartments South, 109m
257. 3 Massey Square, 108m
258. Beyond the Sea South Tower, 108m
259. Infinity East, 108m
260. Infinity3, 108m
261. Novotel DowntownToronto, 108m
262. 8 Park Road, 108m
263. California Condominiums, 108m
264. West Village Building A, 108m
265. 10 Bellair, 108m
266. West Harbour City West, 107m
267. Minto 88 Condos, 107m
268. The Yorkville Condominiums, 106m
269. One St. Thomas Residences, 106m
270. 101 Erskine, 106m
271. Mowat Block, 106m
272. 50 Cordova Avenue, 106m
273. Madison Centre, 106m
274. Bloor Street Neighborhood Condos, 106m
275. 2 Queen Street East, 106m
276. The Dundas Edward Centre, 106m
277. 360° at the City Centre, 105m
278. Malibu at Harbourfront, 105m
279. One Sherway Tower 2, 105m
280. Skymark Center at Avondale - East Tower, 105m
281. Waterscapes, 105m
282. 1 Thousand Bay Street, 104m
283. 500 Duplex Avenue, 104m
284. The Yorkland at Heron`s Hill, 104m
285. 120 Adelaide Street West, 104m
286. Optima, 103m
287. Encore at the Met, 103m
288. Liberty Place, 102m
289. 55 Bay Street, 102m
290. London on the Esplanade, 102m
291. Pure Spirit Condominiums, 102m
292. Conservatory Tower, 102m
293. Toronto Star Building, 101m
294. 24 Mabelle Avenue, 101m
295. Ventus North at Metrogate, 101m
296. Ventus South at Metrogate, 101m
297. Radio City South, 101m
298. Rogers-AT&T Centre, 101m
299. University Centre, 100m
300. Yonge-Eglinton Centre II, 100m
301. Exhibit Residences, 100m
302. The New Residences of Yorkville Plaza, 100m
303. River City 3, 100m
304. City Hall East Tower, 100m
305. Tango, 99m
306. Emerald City II, 99m
307. Hilton Hotel, 99m
308. Harbour Point, 99m
309. Harbour Point 2, 99m
310. Minto Plaza 1, 98m
311. West Village Building B, 98m
312. The Residences at the Consilium West, 98m
313. 10 San Romanoway, 98m
314. Nuvo 1, 98m
315. Nuvo 2, 98m
316. Princess Margaret Hospital, 98m
317. Ryerson: Jarvis Street Residence, 98m
318. Imperial Plaza, 98m
319. 21 Hillcrest Avenue, 97m
320. 3 Navy Wharf Court, 97m
321. 95 Wellington, 97m
322. Studio on Richmond, 97m
323. eq2 at Equinox, 96m
324. 40 Gerrard East, 96m
325. The Residences at the Consilium East, 95m
326. Highgate North, 95m
327. Thomson Building, 95m
328. Matrix 1, 95m
329. One Sherway Tower 3, 94m
330. George Drew Building, 94m
331. Motion on Bay, 93m
332. Centro North, 93m
333. Centro South, 93m
334. Century Plaza, 93m
335. Skymark Center at Avondale - West Tower, 93m
336. South Beach Condos + Lofts, East Tower, 93m
337. South Beach Condos + Lofts, West Tower, 93m
338. Treviso II Condos, 93m
339. Discovery Building B, 93m
340. Empire Plaza, 93m
341. Clarica Centre 1, 93m
342. Panorama, 93m
343. The Republic Condominiums South, 92m
344. Pinnacle Centre Tower B, 92m
345. Waterclub West Tower, 92m
346. The Penrose, 92m
347. St. Lawrence at 158 Front, 91m
348. Mansions of Humberwood East, 91m
349. Mansions of Humberwood West, 91m
350. Foresters, 91m
351. 5 Massey Square, 90m
352. The Crossways A, 90m
353. The Crossways B, 90m
354. Apex East, 90m
355. Windermere NXT, 90m
356. Voyager 1, 90m
357. Transamerica Tower, 90m
358. 545 Sherbourne, 90m
359. 555 Sherbourne, 90m
360. 1101 Bay Street, 89m
361. 155 Cumberland Avenue, 89m
362. Carlton Court Apartments, 88m
363. LuCliff Place, 88m
364. Dream Tower, 88m
365. The Republic Condominiums North, 88m
366. 1 Massey Square, 87m
