*** Sydney (505) ***
1.   Crown Sydney Hotel and Resort, 271m
206. Mosaic, 87m
207. York Apartments, 87m
208. Skyline, 87m
209. St Leon, 87m
210. Arthur Young Building, 87m
211. The Regency Tower A, 86m
212. Polaris, 86m
213. Harbour Court, 85m
214. Ocean Court , 85m
215. Mantra on Kent, 85m
216. The Sebel Residence, 85m
217. Forum West, 85m
218. Hyde Park Regency, 85m
219. Trafalgar Apartments, 85m
220. 55 Hunter Street, 85m
221. Taiga, 85m
222. Latitude on Lavender, 85m
223. Marriott Hotel, 85m
224. The Pinnacle, Sydney, 85m
225. Zen at Wentworth Point, 85m
226. The Cambridge, 85m
227. 77 King Street, 85m
228. Hunter Connection, 85m
229. Royal and Sun Alliance, 85m
230. Reserve Bank Building, 85m
231. 383 Kent Street, 85m
232. Australia Towers II, 84m
233. 80 Bathurst Street, 84m
234. Vista 881, 84m
235. The Bentleigh, 84m
236. Belvedere, 84m
237. St James Centre, 84m
238. Blues Point Tower Apartments, 83m
239. Sydney Boulevard Hotel, 83m
240. Allianz Centre, 83m
241. Barrack Place, 83m
242. 5 Martin Place, 83m
243. Ryde Garden Building A, 82m
244. Ark, 82m
245. Burwood Grand Tower B, 81m
246. Rex House, 81m
247. Australia Towers I, 81m
248. Windsor on Kent, 81m
249. 229 on Elizabeth Street, 81m
250. Fujitsu, 81m
251. Powertel Building, 81m
252. Adina Apartments, 80m
253. Sirius Wentworth Point, 80m
254. VQ Harbour Views, 80m
255. 187 Macquarie Street, 80m
256. The Chelsea, 80m
257. Sheraton on the Park, 80m
258. Waldorf Apartments, 80m
259. Pitt Telephone Exchange, 80m
260. AAMI Centre, 80m
261. Arise, 77m
262. Pavillions Building 5, 76m
263. Aura Tower 1, 76m
264. The Retreat Tower 2, 76m
265. Atmosphere (Tower 1), 76m
266. Altura, 75m
267. Vantage North, 75m
268. Vantage South, 75m
269. Holmsdale Tower, 75m
270. Skyview,  Phoenix Tower, 75m
271. Skyview, Hydra Tower, 75m
272. One Twenty Macquarie, 75m
273. The Pinnacle Tower A, Liverpool, 75m
274. Novotel Sydney Olympic Park, 75m
275. Lumley House, 75m

******************** DETAILS ********************

*** Sydney ***
Country: Australia
Region: Oceania
