*** Sydney (505) ***
1.   Crown Sydney Hotel and Resort, 271m
Height: 112
Floors: 25
Status: Completed
Started: 2005
Completed: 2007
Functions: office
Rank: 113

*** Four Seasons Hotel ***
Height: 110
Floors: 30
Status: Completed
Started: 1981
Completed: 1982
Functions: hotel
Rank: 114

*** Yuhu Hotel ***
Height: 110
Floors: 28
Status: Under Construction
Started: 2018
Completed: 2020
Functions: hotel
Rank: 115

*** Citadel Tower 1 ***
Height: 110
Floors: 21
Status: Completed
Completed: 1991
Functions: office
Rank: 116

*** Meriton Capitol ***
Height: 108
Floors: 32
Status: Completed
Started: 2009
Completed: 2011
Functions: residential
Rank: 117

*** Roden Cutler House ***
Height: 108
Floors: 30
Status: Completed
Started: 1973
Completed: 1975
Functions: office
Rank: 118

*** Defence Plaza ***
Height: 108
Floors: 27
Status: Completed
Started: 1988
Completed: 1990
Functions: office
Rank: 119

*** Museum Towers ***
Height: 107
Floors: 34
Status: Completed
Started: 1987
Completed: 1988
Functions: residential
Rank: 120

*** Centrium Tower Two ***
Height: 107
Floors: 33
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 121

*** Metro View Residences ***
Height: 107
Floors: 27
Status: Completed
Started: 2012
Completed: 2014
Functions: residential
Rank: 122

*** One Australia Avenue ***
Height: 106.89
Floors: 31
Status: Completed
Started: 2012
Completed: 2015
Functions: residential
Rank: 123

*** 230-234 Sussex Street ***
Height: 106
Floors: 31
Status: Under Construction
Started: 2016
Completed: 2019
Functions: residential
Rank: 124

*** BNP Paribas Centre ***
Height: 104
Floors: 27
Status: Completed
Started: 1998
Completed: 1999
Functions: office
Rank: 125

*** The Summit ***
Height: 103
Floors: 34
Status: Completed
Completed: 2000
Functions: residential
Rank: 126

*** Connaught Centre ***
Height: 103
Floors: 31
Status: Completed
Completed: 1983
Functions: residential
Rank: 127

*** Westfield Towers ***
Height: 103
Floors: 27
Status: Completed
Started: 1971
Completed: 1973
Functions: office
Rank: 128

*** 161 Sussex Street Redevelopment ***
Height: 103
Floors: 26
Status: Completed
Completed: 2016
Functions: office / hotel / exhibition
Rank: 129

*** 321 Kent Street ***
Height: 103
Floors: 24
Status: Completed
Started: 1988
Completed: 1990
Functions: office
Rank: 130

*** Regis Towers (Castlereagh) ***
Height: 101
Floors: 38
Status: Completed
Started: 1997
Completed: 1998
Functions: residential
Rank: 131

*** Royal Exchange Building ***
Height: 101
Floors: 28
Status: Completed
Started: 1965
Completed: 1966
Functions: office
Rank: 132

*** SkyHaus North Tower ***
Height: 100.5
Floors: 31
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 133

*** Hotel Intercontinental ***
Height: 100
Floors: 30
Status: Completed
Started: 1982
Completed: 1984
Functions: hotel
Rank: 134

*** Highgate Apartments ***
Height: 100
Floors: 28
Status: Completed
Started: 1992
Completed: 1994
Functions: residential
Rank: 135

*** 1 Oxford Street ***
Height: 100
Floors: 27
Status: Completed
Started: 1980
Completed: 1982
Functions: office
Rank: 136

*** 59 Goulburn Street ***
Height: 100
Floors: 25
Status: Completed
Started: 1973
Completed: 1975
Functions: office
Rank: 137

*** Emirates House ***
Height: 100
Floors: 25
Status: Completed
Started: 1971
Completed: 1973
Functions: office
Rank: 137

*** Town Hall House ***
Height: 100
Floors: 25
Status: Completed
Completed: 1977
Functions: office
Rank: 137

*** Telstra House ***
Height: 100
Floors: 23
Status: Completed
Started: 1971
Completed: 1973
Functions: office
Rank: 140

*** State Street Centre ***
Height: 100
Floors: 20
Status: Completed
Started: 1995
Completed: 1997
Functions: office
Rank: 141

*** Energy Australia ***
Height: 99
Floors: 28
Status: Completed
Started: 1966
Completed: 1968
Functions: office
Rank: 142

*** Westfield Tower Two ***
Height: 99
Floors: 25
Status: Completed
Completed: 1985
Functions: office / retail
Rank: 143

*** Telstra Kent Exchange ***
Height: 99
Floors: 21
Status: Completed
Completed: 1985
Rank: 144

*** Embassy Tower ***
Height: 98.5
Floors: 29
Status: Completed
Started: 2017
Completed: 2018
Functions: residential
Rank: 145

*** St Leonards Square (The William) ***
Height: 98
Floors: 28
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 146

*** 141 Walker Street ***
Height: 97
Floors: 30
Status: Completed
Started: 1985
Completed: 1987
Functions: office
Rank: 147

*** 80 Arthur Street ***
Height: 97
Floors: 30
Status: Completed
Started: 2014
Completed: 2016
Functions: serviced apartments
Rank: 147

*** Astoria Tower ***
Height: 97
Floors: 30
Status: Completed
Started: 1995
Completed: 1996
Functions: residential
Rank: 147

*** Cassia Gardens ***
Height: 97
Floors: 28
Status: Completed
Started: 2002
Completed: 2004
Functions: residential
Rank: 150

*** Epica ***
Height: 96
Floors: 33
Status: Completed
Completed: 2005
Functions: residential / office
Rank: 151

*** Harbour Place ***
Height: 96
Floors: 29
Status: Architecturally Topped Out
Started: 2017
Completed: 2019
Functions: residential
Rank: 152

*** 68 Pitt Street ***
Height: 96
Floors: 27
Status: Completed
Started: 1963
Completed: 1965
Functions: office
Rank: 153

*** Ovo ***
Height: 95.8
Floors: 29
Status: Completed
Started: 2015
Completed: 2018
Functions: residential
Rank: 154

*** Zenith Apartments ***
Height: 95
Floors: 37
Status: Completed
Started: 1970
Completed: 1971
Functions: residential
Rank: 155

*** Regis Apartments (Pitt Tower) ***
Height: 95
Floors: 32
Status: Completed
Started: 1996
Completed: 1997
Functions: residential
Rank: 156

*** SkyHaus South tower ***
Height: 95
Floors: 30
Status: Completed
Started: 2016
Completed: 2017
Functions: residential
Rank: 157

*** Quay Apartments ***
Height: 95
Floors: 27
Status: Completed
Completed: 1984
Functions: residential
Rank: 158

*** City Centre ***
Height: 95
Floors: 25
Status: Completed
Completed: 1988
Functions: office / retail
Rank: 159

*** Hooker House ***
Height: 95
Floors: 23
Status: Completed
Completed: 1975
Functions: office
Rank: 160

*** Novell House ***
Height: 95
Floors: 23
Status: Completed
Started: 1970
Completed: 1972
Functions: office
Rank: 160

*** Symantec House ***
Height: 95
Floors: 23
Status: Completed
Completed: 1988
Functions: office
Rank: 160

*** Air Apartments ***
Height: 94
Floors: 30
Status: Completed
Started: 2015
Completed: 2016
Functions: residential / hotel
Rank: 163

*** Rhodes Central Tower B ***
Height: 94
Floors: 29
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 164

*** John Madison tower ***
Height: 94
Floors: 27
Status: Completed
Completed: 1994
Functions: office
Rank: 165

*** Zenith Tower 1 ***
Height: 94
Floors: 24
Status: Completed
Started: 1987
Completed: 1990
Functions: office
Rank: 166

*** Zenith Tower 2 ***
Height: 94
Floors: 24
Status: Completed
Started: 1987
Completed: 1990
Functions: office
Rank: 166

*** McKell Building ***
Height: 94
Floors: 23
Status: Completed
Started: 1977
Completed: 1979
Functions: office
Rank: 168

*** Matavai Apartments ***
Height: 93
Floors: 32
Status: Completed
Started: 1975
Completed: 1976
Functions: residential
Rank: 169

*** Turanga Apartments ***
Height: 93
Floors: 32
Status: Completed
Started: 1975
Completed: 1976
Functions: residential
Rank: 169

*** VSQ North ***
Height: 93
Floors: 27
Status: Completed
Started: 2011
Completed: 2013
Functions: residential
Rank: 171

*** Darling Park Tower III ***
Height: 93
Floors: 25
Status: Completed
Started: 2004
Completed: 2005
Functions: office
Rank: 172

*** King and Phillip Residences ***
Height: 92.8
Floors: 27
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential / office
Rank: 173

*** Ryde Garden Building B ***
Height: 92
Floors: 27
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 174

*** Radisson Hotel and Suites ***
Height: 92
Floors: 25
Status: Completed
Completed: 1998
Functions: residential / hotel
Rank: 175

*** Central Square ***
Height: 92
Floors: 24
Status: Completed
Completed: 1972
Functions: office
Rank: 176

*** Hyde Park Towers ***
Height: 91
Floors: 32
Status: Completed
Completed: 1994
Functions: residential
Rank: 177

*** Ranelagh Apartments ***
Height: 91
Floors: 30
Status: Completed
Started: 1967
Completed: 1969
Functions: residential
Rank: 178

*** Standard Chartered House ***
Height: 91
Floors: 25
Status: Completed
Completed: 1964
Functions: office
Rank: 179

*** Travelex Building ***
Height: 91
Floors: 20
Status: Completed
Completed: 1984
Functions: office
Rank: 180

*** John Fairfax Building ***
Height: 91
Floors: 13
Status: Completed
Started: 1955
Completed: 1957
Functions: office / education
Rank: 181

*** Medina Classic ***
Height: 90
Floors: 30
Status: Completed
Completed: 1998
Functions: residential
Rank: 182

*** GM Tower ***
Height: 90
Floors: 27
Status: Completed
Started: 2014
Completed: 2016
Functions: residential / office
Rank: 183

*** Stamford on Kent ***
Height: 90
Floors: 27
Status: Completed
Completed: 1999
Functions: residential
Rank: 183

*** The Mark ***
Height: 90
Floors: 27
Status: Completed
Started: 2012
Completed: 2014
Functions: residential
Rank: 183

*** Adina Grand Hotel ***
Height: 90
Floors: 26
Status: Under Construction
Started: 2017
Completed: 2018
Functions: hotel / retail
Rank: 186

*** Maestri Towers ***
Height: 90
Floors: 26
Status: Completed
Started: 2000
Completed: 2002
Functions: residential
Rank: 186

*** Marina Square Tower A, Wentworth Point ***
Height: 90
Floors: 26
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 186

*** Meriton Bondi Junction East Tower ***
Height: 90
Floors: 25
Status: Completed
Started: 2000
Completed: 2001
Functions: residential
Rank: 189

*** The Ribbon Hotel and Residences ***
Height: 90
Floors: 24
Status: Under Construction
Started: 2017
Completed: 2019
Functions: retail / retail / retail / hotel
Rank: 190

*** 100 Pacific Highway ***
Height: 90
Floors: 22
Status: Completed
Started: 2004
Completed: 2006
Functions: office
Rank: 191

*** ING Centre ***
Height: 90
Floors: 21
Status: Completed
Started: 1991
Completed: 1997
Functions: office
Rank: 192

*** Hyde Park Residences ***
Height: 89
Floors: 25
Status: Completed
Started: 2010
Completed: 2011
Functions: residential
Rank: 193

*** Commonwealth Bank Building ***
Height: 89
Status: Completed
Started: 1976
Completed: 1977
Functions: office
Rank: 194

*** Regis Apartments (Campbell Street Tower) ***
Height: 88
Floors: 30
Status: Completed
Completed: 1999
Functions: residential
Rank: 195

*** Stamford Residences ***
Height: 88
Floors: 30
Status: Completed
Started: 2009
Completed: 2011
Functions: residential
Rank: 195

*** The Georgia ***
Height: 88
Floors: 29
Status: Completed
Started: 1997
Completed: 1998
Functions: residential
Rank: 197

*** 519 Kent Street ***
Height: 88
Floors: 28
Status: Completed
Completed: 2000
Functions: residential
Rank: 198

*** Stamford Marque ***
Height: 88
Floors: 27
Status: Completed
Started: 2005
Completed: 2006
Functions: residential
Rank: 199

*** ARC by Crown Group ***
Height: 88
Floors: 26
Status: Completed
Started: 2016
Completed: 2018
Functions: residential / serviced apartments
Rank: 200

*** CML Building ***
Height: 88
Floors: 21
Status: Completed
Started: 1973
Completed: 1977
Functions: office
Rank: 201

*** 20 Martin Place ***
Height: 88
Floors: 20
Status: Completed
Completed: 1970
Functions: office / retail
Rank: 202

*** 60 Carrington Street ***
Height: 88
Floors: 15
Status: Completed
Completed: 1975
Functions: office
Rank: 203

*** 112 Talavera Road, Building A ***
Height: 87.51
Floors: 27
Status: Under Construction
Started: 2018
Functions: residential
Rank: 204

*** The Pinnacle Tower B, Liverpool ***
Height: 87
Floors: 27
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 205

*** Mosaic ***
Height: 87
Floors: 26
Status: Completed
Completed: 2007
Functions: residential
Rank: 206

*** York Apartments ***
Height: 87
Floors: 26
Status: Completed
Completed: 1983
Functions: residential
Rank: 206

*** Skyline ***
Height: 87
Floors: 25
Status: Completed
Started: 2014
Completed: 2015
Functions: residential
Rank: 208

*** St Leon ***
Height: 87
Floors: 24
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 209

*** Arthur Young Building ***
Height: 87
Floors: 20
Status: Completed
Completed: 1983
Functions: office
Rank: 210

*** The Regency Tower A ***
Height: 86
Floors: 28
Status: Completed
Completed: 2001
Functions: residential
Rank: 211

*** Polaris ***
Height: 85.7
Floors: 24
Status: Under Construction
Started: 2016
Completed: 2018
Functions: residential
Rank: 212

*** Harbour Court ***
Height: 85
Floors: 29
Status: Completed
Completed: 1985
Functions: residential
Rank: 213

*** Ocean Court  ***
Height: 85
Floors: 29
Status: Completed
Completed: 1985
Functions: residential
Rank: 213

*** Mantra on Kent ***
Height: 85
Floors: 28
Status: Completed
Completed: 1999
Functions: hotel
Rank: 215

*** The Sebel Residence ***
Height: 85
Floors: 28
Status: Completed
Completed: 1990
Functions: residential
Rank: 215

*** Forum West ***
Height: 85
Floors: 27
Status: Completed
Completed: 2002
Functions: residential
Rank: 217

*** Hyde Park Regency ***
Height: 85
Floors: 27
Status: Completed
Completed: 1996
Functions: residential
Rank: 217

*** Trafalgar Apartments ***
Height: 85
Floors: 27
Status: Completed
Started: 2001
Completed: 2002
Functions: residential
Rank: 217

*** 55 Hunter Street ***
Height: 85
Floors: 26
Status: Completed
Started: 1962
Completed: 1963
Functions: office
Rank: 220

*** Taiga ***
Height: 85
Floors: 26
Status: Completed
Started: 2016
Completed: 2017
Functions: residential
Rank: 220

*** Latitude on Lavender ***
Height: 85
Floors: 25
Status: Completed
Completed: 1974
Functions: residential
Rank: 222

*** Marriott Hotel ***
Height: 85
Floors: 25
Status: Completed
Completed: 1992
Functions: residential / hotel
Rank: 222

*** The Pinnacle, Sydney ***
Height: 85
Floors: 25
Status: Completed
Completed: 1972
Functions: residential
Rank: 222

*** Zen at Wentworth Point ***
Height: 85
Floors: 25
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 222

*** The Cambridge ***
Height: 85
Floors: 24
Status: Completed
Completed: 2007
Functions: residential
Rank: 226

*** 77 King Street ***
Height: 85
Floors: 22
Status: Completed
Completed: 1973
Functions: office / retail
Rank: 227

*** Hunter Connection ***
Height: 85
Floors: 21
Status: Completed
Completed: 1986
Functions: office
Rank: 228

*** Royal and Sun Alliance ***
Height: 85
Floors: 18
Status: Completed
Completed: 1995
Functions: office
Rank: 229

*** Reserve Bank Building ***
Height: 85
Floors: 17
Status: Completed
Started: 1963
Completed: 1964
Functions: office
Rank: 230

*** 383 Kent Street ***
Height: 85
Floors: 15
Status: Completed
Completed: 2002
Functions: office
Rank: 231

*** Australia Towers II ***
Height: 84.4
Floors: 25
Status: Completed
Started: 2012
Completed: 2015
Functions: residential
Rank: 232

*** 80 Bathurst Street ***
Height: 84
Floors: 25
Status: Under Construction
Started: 2017
Completed: 2018
Functions: residential / hotel
Rank: 233

*** Vista 881 ***
Height: 84
Floors: 25
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 233

*** The Bentleigh ***
Height: 84
Floors: 24
Status: Completed
Completed: 2000
Functions: residential
Rank: 235

*** Belvedere ***
Height: 84
Floors: 22
Status: Completed
Started: 2012
Completed: 2013
Functions: residential
Rank: 236

*** St James Centre ***
Height: 84
Floors: 22
Status: Completed
Completed: 1976
Functions: office
Rank: 236

*** Blues Point Tower Apartments ***
Height: 83
Floors: 26
Status: Completed
Started: 1959
Completed: 1961
Functions: residential
Rank: 238

*** Sydney Boulevard Hotel ***
Height: 83
Floors: 25
Status: Completed
Completed: 1973
Functions: hotel
Rank: 239

*** Allianz Centre ***
Height: 83
Floors: 21
Status: Completed
Completed: 1991
Functions: office
Rank: 240

*** Barrack Place ***
Height: 83
Floors: 20
Status: Completed
Started: 2016
Completed: 2018
Functions: retail / office
Rank: 241

*** 5 Martin Place ***
Height: 82.73
Floors: 20
Status: Completed
Completed: 2015
Functions: office
Rank: 242

*** Ryde Garden Building A ***
Height: 82
Floors: 23
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 243

*** Ark ***
Height: 82
Floors: 21
Status: Completed
Started: 2008
Completed: 2010
Functions: office
Rank: 244

*** Burwood Grand Tower B ***
Height: 81.4
Floors: 25
Status: Under Construction
Started: 2016
Completed: 2019
Functions: residential / retail
Rank: 245

*** Rex House ***
Height: 81
Floors: 27
Status: Completed
Completed: 2003
Functions: residential
Rank: 246

*** Australia Towers I ***
Height: 81
Floors: 25
Status: Completed
Started: 2010
Completed: 2011
Functions: residential
Rank: 247

*** Windsor on Kent ***
Height: 81
Floors: 24
Status: Completed
Completed: 1999
Functions: residential
Rank: 248

*** 229 on Elizabeth Street ***
Height: 81
Floors: 20
Status: Completed
Completed: 1972
Functions: office
Rank: 249

*** Fujitsu ***
Height: 81
Floors: 20
Status: Completed
Started: 1971
Completed: 1975
Functions: office
Rank: 249

*** Powertel Building ***
Height: 81
Floors: 20
Status: Completed
Completed: 1975
Functions: office
Rank: 249

*** Adina Apartments ***
Height: 80
Floors: 27
Status: Completed
Completed: 1998
Functions: hotel
Rank: 252

*** Sirius Wentworth Point ***
Height: 80
Floors: 26
Status: Completed
Started: 2016
Completed: 2017
Functions: residential
Rank: 253

*** VQ Harbour Views ***
Height: 80
Floors: 25
Status: Completed
Started: 2013
Completed: 2014
Functions: residential
Rank: 254

*** 187 Macquarie Street ***
Height: 80
Floors: 24
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential / office
Rank: 255

*** The Chelsea ***
Height: 80
Floors: 21
Status: Completed
Completed: 2000
Functions: residential
Rank: 256

*** Sheraton on the Park ***
Height: 80
Floors: 20
Status: Completed
Completed: 1996
Functions: hotel
Rank: 257

*** Waldorf Apartments ***
Height: 80
Floors: 20
Status: Completed
Completed: 1984
Functions: hotel
Rank: 257

*** Pitt Telephone Exchange ***
Height: 80
Floors: 16
Status: Completed
Completed: 1976
Functions: office
Rank: 259

*** AAMI Centre ***
Height: 79.86
Floors: 25
Status: Completed
Completed: 1988
Functions: office
Rank: 260

*** Arise ***
Height: 77
Floors: 24
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 261

*** Pavillions Building 5 ***
Height: 76
Floors: 24
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 262

*** Aura Tower 1 ***
Height: 76
Floors: 23
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 263

*** The Retreat Tower 2 ***
Height: 76
Floors: 22
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 264

*** Atmosphere (Tower 1) ***
Height: 76
Floors: 21
Status: Completed
Started: 2016
Completed: 2018
Functions: residential / residential / retail
Rank: 265

*** Altura ***
Height: 75
Floors: 25
Status: Completed
Completed: 2003
Functions: residential
Rank: 266

*** Vantage North ***
Height: 75
Floors: 25
Status: Completed
Started: 2011
Completed: 2013
Functions: residential
Rank: 266

*** Vantage South ***
Height: 75
Floors: 25
Status: Completed
Started: 2011
Completed: 2013
Functions: residential
Rank: 266

*** Holmsdale Tower ***
Height: 75
Floors: 24
Status: Completed
Completed: 1970
Functions: residential
Rank: 269

*** Skyview,  Phoenix Tower ***
Height: 75
Floors: 24
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 269

*** Skyview, Hydra Tower ***
Height: 75
Floors: 24
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 269

*** One Twenty Macquarie ***
Height: 75
Floors: 23
Status: Structurally Topped Out
Started: 2017
Completed: 2018
Functions: residential
Rank: 272

*** The Pinnacle Tower A, Liverpool ***
Height: 75
Floors: 23
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 272

*** Novotel Sydney Olympic Park ***
Height: 75
Floors: 19
Status: Completed
Started: 1999
Completed: 2000
Functions: hotel
Rank: 274

*** Lumley House ***
Height: 75
Floors: 16
Status: Completed
Completed: 1976
Functions: office
Rank: 275
