*** Nanning (663) ***
1.   Skyfame Center Landmark Tower, 420m
158. Longguang Royal Lake Sunshine 13, 118m
159. Longguang Royal Lake Sunshine 21, 118m
160. Vanke City South Area #9, 118m
161. Vanke City South Area #10, 118m
162. Guangxi Construction Building #1, 116m
163. Guangxi Construction Building #2, 116m
164. International Ocean City 1, 114m
165. International Ocean City 4, 112m
166. Greenland Center Tower 2, 110m
167. Greenland Center Tower 7, 110m
168. Longguang Royal Lake Sunshine 12, 109m
169. Longguang Royal Lake Sunshine 22, 109m
170. Sheng Tian Dong Jun Tower 24, 106m
171. Sheng Tian Dong Jun Tower 25, 106m
172. Sheng Tian Dong Jun Tower 26, 106m
173. Sheng Tian Dong Jun Tower 22, 105m
174. Sheng Tian Dong Jun Tower 23, 105m
175. Nanning Rong i Qijiang Yue House #1, 104m
176. Golden One 11#, 100m
177. Golden One 12#, 100m
178. Golden One 13#, 100m
179. Golden One 15#, 100m
180. Nanning International Tourism Center 2, 100m
181. Wanda Vista Nanning, 100m
182. Sheng Tian Dong Jun Tower 30, 100m
183. Sheng Tian Dong Jun Towers 31-32, 100m
184. Sheng Tian Dong Jun Towers 33-35, 100m
185. Sheng Tian Dong Jun Towers 36-37, 100m
186. Sheng Tian Dong Jun Towers 12-13, 100m
187. Longgang Tang Fruit #2, 100m
188. Longgang Tang Fruit #7, 100m
189. Sheng Tian Dong Jun Tower 21, 100m
190. Sheng Tian Dong Jun Towers 15-16, 100m
191. Sheng Tian Dong Jun Towers 17-18, 100m
192. Sheng Tian Dong Jun Towers 19-20, 100m
193. Sheng Tian Dong Jun Towers 8-9, 100m
194. Sheng Tian Dong Jun Towers 1-2, 100m
195. Sheng Tian Dong Jun Towers 3-5, 100m
196. Sheng Tian Dong Jun Towers 6-7, 100m
197. Huafa Guobin One 11#, 100m
198. Huafa Guobin One 13#, 100m
199. Huafa Guobin One 16#, 100m
200. Huafa Guobin One 18#, 100m
201. Huafa Guobin One 19#, 100m
202. Huafa Guobin One 7#, 100m
203. Huafa Guobin One 8#, 100m
204. Vanke City South Area #1, 100m
205. Vanke City South Area #2, 100m
206. Vanke City South Area #3, 100m
207. Vanke City South Area #6, 100m
208. Vanke City South Area #7, 100m
209. Vanke City South Area #8, 100m
210. Vanke City North Area #21, 100m
211. Longguang Royal Lake Sunshine 3, 100m
212. Haoyuefu 18#, 100m
213. Haoyuefu 6#, 100m
214. Haoyuefu 7#, 100m
215. Haoyuefu 8#, 100m
216. Guang Investment Xin Environment, 100m
217. Huarun Jiacheng Five Elephants #2, 99m
218. Longguang Royal Lake Sunshine 25, 99m
219. Longguang Royal Lake Sunshine 28, 99m
220. Longguang Royal Lake Sunshine 29, 99m
221. Longguang Royal Lake Sunshine 6, 99m
222. Longguang Royal Lake Sunshine 7, 99m
223. Rong and Banyan Mountain #12, 99m
224. Rong and Banyan Mountain #1B, 99m
225. Rong and Banyan Mountain #5A, 99m
226. Vanke City North Area #22, 99m
227. Haoyuefu 11#, 99m
228. Haoyuefu 16#, 99m
229. Haoyuefu 17#, 99m
230. Haoyuefu 3#, 99m
231. Haoyuefu 5#, 99m
232. Grand Gateway Huijin, 99m
233. Vanke City North Area #6, 99m
234. Longgang Tang Fruit #8, 99m
235. Haoyuefu 10#, 99m
236. Haoyuefu 9#, 99m
237. Longguang Royal Lake Sunshine 10, 99m
238. Longguang Royal Lake Sunshine 11, 99m
239. Longguang Royal Lake Sunshine 14, 99m
240. Longguang Royal Lake Sunshine 9, 99m
241. Vanke City North Area #7, 98m
242. Silver Spring Yitian #1, 98m
243. Longguang Royal Lake Sunshine 2, 98m
244. Longgang Tang Fruit #3, 97m
245. Guang Investment Xin Environment B, 97m
246. Guang Investment Xin Environment C, 97m
247. Silver Spring Yitian #5, 97m
248. Huafa Guobin One 10# , 97m
249. Huafa Guobin One 12#, 97m
250. Huafa Guobin One 14# , 97m
251. Huafa Guobin One 15# , 97m
252. Huafa Guobin One 17#, 97m
253. Huafa Guobin One 4#, 97m
254. Huafa Guobin One 9#, 97m
255. Huarun Jiacheng Five Elephants #1, 97m
256. Rong and Banyan Mountain #15, 96m
257. Xianggang Jie #1-1, 96m
258. Xianggang Jie #1-2, 96m
259. Yuda Group Headquarters Serviced Apartments, 94m
260. Huafa Guobin One 5#, 94m
261. Longguang Royal Lake Sunshine 24, 93m
262. Longguang Royal Lake Sunshine 26, 93m
263. Ming Huang Island International Business Plaza, 93m
264. Longgang Tang Fruit #6, 92m
265. Tsingtao Haier Union Square Tower 4, 91m
266. Longguang Royal Lake Sunshine 20, 90m
267. Longguang Royal Lake Sunshine 23, 90m
268. Longguang Royal Lake Sunshine 32, 90m
269. Longguang Royal Lake Sunshine 33, 90m
270. Longgang Tang Fruit #9, 90m
271. Silver Spring Yitian #6, 89m
272. Goldfield Blue Bay #21-1,2, 89m
273. Huafa Guobin One 1#, 88m
274. Huafa Guobin One 2# , 88m
275. Huafa Guobin One 3# , 88m
276. Huafa Guobin One 6#, 88m
277. Athens International, 88m
278. Cloud Star - Qian Long World 1#, 87m
279. Cloud Star - Qian Long World 2#, 87m
280. Huafa Guobin One 20#, 85m
281. Huafa Guobin One 21#, 85m
282. Rong and Banyan Mountain #7, 84m
283. Longguang Royal Lake Sunshine 27, 80m
284. Longguang Royal Lake Sunshine 30, 80m
285. Jinyuan City Five 5#, 80m
286. Longguang Royal Lake Sunshine 5, 80m
287. Longguang Royal Lake Sunshine 8, 80m
288. Longgang Tang Fruit #5, 79m
289. Longguang Royal Lake Sunshine 1, 79m
290. Rong and Banyan Mountain #2B, 79m
291. Rong and Banyan Mountain #3B, 79m
292. Longgang Tang Fruit #1, 78m
293. Longguang Royal Lake Sunshine 4, 78m
294. Country Garden Tianzhu Bay 14, 77m

******************** DETAILS ********************

*** Nanning ***
Country: China
Region: Asia
