*** Nanning (663) ***
1.   Skyfame Center Landmark Tower, 420m
Rank: 51

*** Huarun Jiacheng Five Elephants #18 ***
Height: 160.3
Floors: 54
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 52

*** Huarun Jiacheng Five Elephants #26 ***
Height: 160.3
Floors: 54
Status: Architecturally Topped Out
Started: 2016
Completed: 2018
Functions: residential
Rank: 52

*** Guangxi Water Conservancy Electric Industry Business Building ***
Height: 157.6
Floors: 32
Status: Completed
Started: 2013
Completed: 2015
Functions: office
Rank: 54

*** Huarun Jiacheng Five Elephants #13 ***
Height: 157.4
Floors: 53
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 55

*** Huarun Jiacheng Five Elephants #16 ***
Height: 157.4
Floors: 53
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 55

*** Huarun Jiacheng Five Elephants #21 ***
Height: 157.4
Floors: 53
Status: Architecturally Topped Out
Started: 2016
Completed: 2019
Functions: residential
Rank: 55

*** Huarun Jiacheng Five Elephants #23 ***
Height: 157.4
Floors: 53
Status: Architecturally Topped Out
Started: 2016
Completed: 2018
Functions: residential
Rank: 55

*** Vanke City South Area #22 ***
Height: 155.3
Floors: 53
Status: Completed
Started: 2014
Completed: 2018
Functions: residential
Rank: 59

*** Cartier Manor 2 ***
Height: 151
Floors: 43
Status: Completed
Started: 2012
Completed: 2014
Functions: residential
Rank: 60

*** Jinyuan City Five 1# ***
Height: 150
Floors: 49
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 61

*** Jinyuan City Five 2#  ***
Height: 150
Floors: 49
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 61

*** Jinyuan City Five 3#  ***
Height: 150
Floors: 49
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 61

*** Jinyuan City Five 6# ***
Height: 150
Floors: 49
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 61

*** Jinyuan City Five 7#   ***
Height: 150
Floors: 49
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 61

*** Jinyuan City Five 8#   ***
Height: 150
Floors: 49
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 61

*** Nanning International Tourism Center 3 ***
Height: 150
Floors: 46
Status: Under Construction
Started: 2016
Completed: 2020
Functions: office
Rank: 67

*** Long Light Water Yue Longwan 10 ***
Height: 150
Floors: 45
Status: Completed
Completed: 2014
Functions: residential
Rank: 68

*** Long Light Water Yue Longwan 11 ***
Height: 150
Floors: 45
Status: Completed
Completed: 2014
Functions: residential
Rank: 68

*** Yuda Group Headquarters Tower 2 ***
Height: 150
Floors: 38
Status: Completed
Started: 2015
Completed: 2018
Functions: hotel
Rank: 70

*** Vanke City South Area S3 ***
Height: 150
Status: Under Construction
Started: 2018
Completed: 2020
Functions: office
Rank: 71

*** Xianggang Jie #2 ***
Height: 149.25
Floors: 46
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 72

*** Xianggang Jie #3 ***
Height: 149.25
Floors: 46
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 72

*** Tsingtao Haier Union Square Tower 2 ***
Height: 146.95
Floors: 39
Status: Completed
Started: 2013
Completed: 2016
Functions: office
Rank: 74

*** Jinyuan City Five 10#  ***
Height: 146.8
Floors: 45
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 75

*** Huarun Jiacheng Five Elephants #12 ***
Height: 145.8
Floors: 49
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 76

*** Huarun Jiacheng Five Elephants #17 ***
Height: 145.8
Floors: 49
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 76

*** Huarun Jiacheng Five Elephants #20 ***
Height: 145.8
Floors: 49
Status: Architecturally Topped Out
Started: 2016
Completed: 2019
Functions: residential
Rank: 76

*** Huarun Jiacheng Five Elephants #25 ***
Height: 145.8
Floors: 49
Status: Architecturally Topped Out
Started: 2016
Completed: 2018
Functions: residential
Rank: 76

*** Cartier Manor 1 ***
Height: 145
Floors: 41
Status: Completed
Started: 2012
Completed: 2014
Functions: residential
Rank: 80

*** Cartier Manor 3 ***
Height: 145
Floors: 41
Status: Completed
Started: 2012
Completed: 2014
Functions: residential
Rank: 80

*** Guangxi New Media Center ***
Height: 144.7
Floors: 31
Status: Completed
Started: 2016
Completed: 2018
Functions: office
Rank: 82

*** Li Hai · Asia International Lingfeng Block A ***
Height: 144
Floors: 22
Status: Completed
Completed: 2011
Functions: office
Rank: 83

*** Li Hai · Asia International Lingfeng Block B ***
Height: 144
Floors: 22
Status: Completed
Completed: 2011
Functions: office
Rank: 83

*** Vanke City South Area #21 ***
Height: 139.9
Floors: 49
Status: Completed
Started: 2014
Completed: 2018
Functions: residential
Rank: 85

*** Rong and Banyan Mountain #11 ***
Height: 139.9
Floors: 45
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 86

*** Rong and Banyan Mountain #16 ***
Height: 139.85
Floors: 49
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 87

*** Rong and Banyan Mountain #17 ***
Height: 139.85
Floors: 49
Status: Completed
Started: 2017
Completed: 2018
Functions: residential
Rank: 87

*** Rong and Banyan Mountain #18 ***
Height: 139.85
Floors: 49
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 87

*** Rong and Banyan Mountain #10 ***
Height: 139.8
Floors: 49
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 90

*** Rong and Banyan Mountain #20 ***
Height: 139.8
Floors: 49
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 90

*** Rong and Banyan Mountain #21 ***
Height: 139.8
Floors: 49
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 90

*** Vanke City South Area #11 ***
Height: 139.7
Floors: 49
Status: Completed
Started: 2014
Completed: 2018
Functions: residential
Rank: 93

*** Vanke City South Area #12 ***
Height: 139.7
Floors: 49
Status: Completed
Started: 2014
Completed: 2018
Functions: residential
Rank: 93

*** Huarun Jiacheng Five Elephants #5 ***
Height: 139.7
Floors: 47
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 95

*** Huarun Jiacheng Five Elephants #6 ***
Height: 139.7
Floors: 47
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 95

*** Vanke City South Area S2 ***
Height: 139.7
Floors: 31
Status: Under Construction
Started: 2018
Completed: 2020
Functions: office
Rank: 97

*** Silver Spring Yitian #3 ***
Height: 139.5
Floors: 46
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 98

*** Vanke City North Area #1 ***
Height: 139.35
Floors: 45
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 99

*** Vanke City North Area #2 ***
Height: 139.35
Floors: 45
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 99

*** Vanke City North Area #3 ***
Height: 139.35
Floors: 45
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 99

*** Vanke City North Area #4 ***
Height: 139.35
Floors: 45
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 99

*** Vanke City North Area #15 ***
Height: 138.95
Floors: 48
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 103

*** Vanke City North Area #16 ***
Height: 138.95
Floors: 48
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 103

*** Vanke City North Area #8 ***
Height: 138.95
Floors: 48
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 103

*** Vanke City North Area #9 ***
Height: 138.95
Floors: 48
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 103

*** Rong and Banyan Mountain #6 ***
Height: 138.55
Floors: 46
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 107

*** Nanning Rong i Qijiang Yue House #2 ***
Height: 138.3
Floors: 41
Status: Completed
Started: 2012
Completed: 2015
Functions: residential
Rank: 108

*** Guangxi Electric Power Mansion ***
Height: 138
Floors: 32
Status: Completed
Completed: 1993
Functions: office
Rank: 109

*** International Ocean City 3 ***
Height: 137.6
Floors: 38
Status: Completed
Started: 2005
Completed: 2008
Functions: office
Rank: 110

*** Huarun Jiacheng Five Elephants #10 ***
Height: 137.1
Floors: 47
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 111

*** Huarun Jiacheng Five Elephants #9 ***
Height: 137.1
Floors: 47
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 111

*** Huarun Jiacheng Five Elephants #11 ***
Height: 137.1
Floors: 46
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 113

*** Huarun Jiacheng Five Elephants #15 ***
Height: 137.1
Floors: 46
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 113

*** Huarun Jiacheng Five Elephants #19 ***
Height: 137.1
Floors: 46
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 113

*** Huarun Jiacheng Five Elephants #22 ***
Height: 137.1
Floors: 46
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 113

*** Rong and Banyan Mountain #9 ***
Height: 137.1
Floors: 45
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 117

*** Rong and Banyan Mountain #8 ***
Height: 135.3
Floors: 46
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 118

*** International Ocean City 2 ***
Height: 135
Floors: 36
Status: Completed
Started: 2005
Completed: 2008
Functions: office
Rank: 119

*** Rong and Banyan Mountain #19 ***
Height: 134.2
Floors: 47
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 120

*** Huarun Jiacheng Five Elephants #3 ***
Height: 134.2
Floors: 45
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 121

*** Huarun Jiacheng Five Elephants #7 ***
Height: 134.2
Floors: 45
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 121

*** Vanke City South Area #4 ***
Height: 133.3
Floors: 47
Status: Completed
Started: 2014
Completed: 2017
Functions: residential
Rank: 123

*** Vanke City South Area #5 ***
Height: 133.3
Floors: 47
Status: Completed
Started: 2014
Completed: 2017
Functions: residential
Rank: 123

*** Guang Investment Xin Environment A ***
Height: 132.7
Floors: 42
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 125

*** Residential at Macau Street ***
Height: 132
Floors: 32
Status: Completed
Completed: 2010
Functions: residential
Rank: 126

*** Huarun Jiacheng Five Elephants #8 ***
Height: 131.3
Floors: 45
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 127

*** Nanning Rong i Qijiang Yue House #3 ***
Height: 130
Floors: 38
Status: Completed
Started: 2012
Completed: 2015
Functions: residential
Rank: 128

*** Water Resources Department ***
Height: 128
Floors: 29
Status: Completed
Completed: 1994
Functions: office
Rank: 129

*** Vanke City North Area #25 ***
Height: 123.6
Floors: 39
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 130

*** Vanke City North Area #5 ***
Height: 122.35
Floors: 39
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 131

*** Vanke City South Area #20 ***
Height: 121.5
Floors: 42
Status: Completed
Started: 2014
Completed: 2018
Functions: residential
Rank: 132

*** Tsingtao Haier Union Square Tower 3 ***
Height: 120.85
Floors: 27
Status: Under Construction
Started: 2013
Functions: office
Rank: 133

*** Golden One 2# ***
Height: 120.35
Floors: 39
Status: Completed
Started: 2013
Completed: 2016
Functions: residential
Rank: 134

*** Golden One 3# ***
Height: 120.35
Floors: 39
Status: Completed
Started: 2013
Completed: 2016
Functions: residential
Rank: 134

*** Golden One 5# ***
Height: 120.35
Floors: 39
Status: Completed
Started: 2013
Completed: 2016
Functions: residential
Rank: 134

*** Golden One 6# ***
Height: 120.2
Floors: 39
Status: Completed
Started: 2013
Completed: 2016
Functions: residential
Rank: 137

*** Golden One 10# ***
Height: 120.15
Floors: 39
Status: Completed
Started: 2013
Completed: 2016
Functions: residential
Rank: 138

*** Golden One 7# ***
Height: 120.15
Floors: 39
Status: Completed
Started: 2013
Completed: 2016
Functions: residential
Rank: 138

*** Golden One 8# ***
Height: 120.15
Floors: 39
Status: Completed
Started: 2013
Completed: 2016
Functions: residential
Rank: 138

*** Golden One 9# ***
Height: 120.15
Floors: 39
Status: Completed
Started: 2013
Completed: 2016
Functions: residential
Rank: 138

*** Vanke City South Area #13 ***
Height: 120.1
Floors: 42
Status: Completed
Started: 2014
Completed: 2018
Functions: residential
Rank: 142

*** Vanke City South Area #14 ***
Height: 120.1
Floors: 42
Status: Completed
Started: 2014
Completed: 2018
Functions: residential
Rank: 142

*** Vanke City South Area #19 ***
Height: 119.5
Floors: 42
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 144

*** Vanke City North Area #10 ***
Height: 119.35
Floors: 42
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 145

*** Vanke City North Area #11 ***
Height: 119.35
Floors: 41
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 146

*** Vanke City North Area #12 ***
Height: 119.35
Floors: 41
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 146

*** Vanke City North Area #13 ***
Height: 119.35
Floors: 41
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 146

*** Vanke City North Area #14 ***
Height: 119.35
Floors: 41
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 146

*** Vanke City North Area #17 ***
Height: 119.35
Floors: 41
Status: Under Construction
Started: 2018
Completed: 2019
Functions: residential
Rank: 146

*** Vanke City North Area #18 ***
Height: 119.35
Floors: 41
Status: Under Construction
Started: 2018
Completed: 2019
Functions: residential
Rank: 146

*** Vanke City North Area #19 ***
Height: 119.35
Floors: 41
Status: Under Construction
Started: 2018
Completed: 2019
Functions: residential
Rank: 146

*** Vanke City North Area #20 ***
Height: 119.35
Floors: 41
Status: Under Construction
Started: 2018
Completed: 2019
Functions: residential
Rank: 146

*** Vanke City North Area #23 ***
Height: 119.35
Floors: 41
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 146

*** Vanke City North Area #24 ***
Height: 119.35
Floors: 41
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 146

*** Silver Spring Yitian #2 ***
Height: 119.2
Floors: 39
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 156

*** Silver Spring Yitian #4 ***
Height: 119.2
Floors: 39
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 156

*** Longguang Royal Lake Sunshine 13 ***
Height: 118.35
Floors: 35
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 158

*** Longguang Royal Lake Sunshine 21 ***
Height: 118.35
Floors: 35
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 158

*** Vanke City South Area #9 ***
Height: 118.2
Floors: 42
Status: Completed
Started: 2014
Completed: 2018
Functions: residential
Rank: 160

*** Vanke City South Area #10 ***
Height: 117.9
Floors: 42
Status: Completed
Started: 2014
Completed: 2018
Functions: residential
Rank: 161

*** Guangxi Construction Building #1 ***
Height: 116.15
Floors: 23
Status: Completed
Started: 2014
Completed: 2016
Functions: office
Rank: 162

*** Guangxi Construction Building #2 ***
Height: 116.15
Floors: 23
Status: Completed
Started: 2014
Completed: 2017
Functions: office
Rank: 162

*** International Ocean City 1 ***
Height: 114.3
Status: Completed
Started: 2005
Completed: 2008
Functions: office
Rank: 164

*** International Ocean City 4 ***
Height: 112
Status: Completed
Started: 2005
Completed: 2008
Functions: office
Rank: 165

*** Greenland Center Tower 2 ***
Height: 110
Floors: 24
Status: Completed
Started: 2014
Completed: 2017
Functions: office
Rank: 166

*** Greenland Center Tower 7 ***
Height: 110
Floors: 24
Status: Completed
Started: 2014
Completed: 2017
Functions: office
Rank: 166

*** Longguang Royal Lake Sunshine 12 ***
Height: 109.35
Floors: 32
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 168

*** Longguang Royal Lake Sunshine 22 ***
Height: 109.35
Floors: 32
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 168

*** Sheng Tian Dong Jun Tower 24 ***
Height: 105.8
Floors: 34
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 170

*** Sheng Tian Dong Jun Tower 25 ***
Height: 105.8
Floors: 34
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 170

*** Sheng Tian Dong Jun Tower 26 ***
Height: 105.8
Floors: 34
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 170

*** Sheng Tian Dong Jun Tower 22 ***
Height: 105.1
Floors: 34
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 173

*** Sheng Tian Dong Jun Tower 23 ***
Height: 105.1
Floors: 34
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 173

*** Nanning Rong i Qijiang Yue House #1 ***
Height: 104
Floors: 31
Status: Completed
Started: 2012
Completed: 2015
Functions: residential
Rank: 175

*** Golden One 11# ***
Height: 100
Floors: 32
Status: Completed
Started: 2013
Completed: 2016
Functions: residential
Rank: 176

*** Golden One 12# ***
Height: 100
Floors: 32
Status: Completed
Started: 2013
Completed: 2016
Functions: residential
Rank: 176

*** Golden One 13# ***
Height: 100
Floors: 31
Status: Completed
Started: 2013
Completed: 2016
Functions: residential
Rank: 178

*** Golden One 15# ***
Height: 100
Floors: 31
Status: Completed
Started: 2013
Completed: 2016
Functions: residential
Rank: 178

*** Nanning International Tourism Center 2 ***
Height: 100
Floors: 17
Status: Under Construction
Started: 2016
Completed: 2020
Functions: office
Rank: 180

*** Wanda Vista Nanning ***
Height: 100
Status: Completed
Started: 2013
Completed: 2015
Functions: hotel
Rank: 181

*** Sheng Tian Dong Jun Tower 30 ***
Height: 99.9
Floors: 34
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 182

*** Sheng Tian Dong Jun Towers 31-32 ***
Height: 99.9
Floors: 34
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 182

*** Sheng Tian Dong Jun Towers 33-35 ***
Height: 99.9
Floors: 34
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 182

*** Sheng Tian Dong Jun Towers 36-37 ***
Height: 99.9
Floors: 34
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 182

*** Sheng Tian Dong Jun Towers 12-13 ***
Height: 99.9
Floors: 33
Status: Completed
Started: 2011
Completed: 2013
Functions: residential
Rank: 186

*** Longgang Tang Fruit #2 ***
Height: 99.9
Floors: 32
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 187

*** Longgang Tang Fruit #7 ***
Height: 99.9
Floors: 32
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 187

*** Sheng Tian Dong Jun Tower 21 ***
Height: 99.9
Floors: 32
Status: Completed
Started: 2011
Completed: 2013
Functions: residential
Rank: 187

*** Sheng Tian Dong Jun Towers 15-16 ***
Height: 99.9
Floors: 32
Status: Completed
Started: 2011
Completed: 2013
Functions: residential
Rank: 187

*** Sheng Tian Dong Jun Towers 17-18 ***
Height: 99.9
Floors: 32
Status: Completed
Started: 2011
Completed: 2013
Functions: residential
Rank: 187

*** Sheng Tian Dong Jun Towers 19-20 ***
Height: 99.9
Floors: 32
Status: Completed
Started: 2011
Completed: 2013
Functions: residential
Rank: 187

*** Sheng Tian Dong Jun Towers 8-9 ***
Height: 99.9
Floors: 32
Status: Completed
Started: 2011
Completed: 2013
Functions: residential
Rank: 187

*** Sheng Tian Dong Jun Towers 1-2 ***
Height: 99.9
Floors: 31
Status: Completed
Started: 2011
Completed: 2013
Functions: residential
Rank: 194

*** Sheng Tian Dong Jun Towers 3-5 ***
Height: 99.9
Floors: 31
Status: Completed
Started: 2011
Completed: 2013
Functions: residential
Rank: 194

*** Sheng Tian Dong Jun Towers 6-7 ***
Height: 99.9
Floors: 31
Status: Completed
Started: 2011
Completed: 2013
Functions: residential
Rank: 194

*** Huafa Guobin One 11# ***
Height: 99.8
Floors: 32
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 197

*** Huafa Guobin One 13# ***
Height: 99.8
Floors: 32
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 197

*** Huafa Guobin One 16# ***
Height: 99.8
Floors: 32
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 197

*** Huafa Guobin One 18# ***
Height: 99.8
Floors: 32
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 197

*** Huafa Guobin One 19# ***
Height: 99.8
Floors: 32
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 197

*** Huafa Guobin One 7# ***
Height: 99.8
Floors: 32
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 197

*** Huafa Guobin One 8# ***
Height: 99.8
Floors: 32
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 197

*** Vanke City South Area #1 ***
Height: 99.7
Floors: 35
Status: Completed
Started: 2014
Completed: 2017
Functions: residential
Rank: 204

*** Vanke City South Area #2 ***
Height: 99.7
Floors: 35
Status: Completed
Started: 2014
Completed: 2017
Functions: residential
Rank: 204

*** Vanke City South Area #3 ***
Height: 99.7
Floors: 35
Status: Completed
Started: 2014
Completed: 2017
Functions: residential
Rank: 204

*** Vanke City South Area #6 ***
Height: 99.7
Floors: 35
Status: Completed
Started: 2014
Completed: 2017
Functions: residential
Rank: 204

*** Vanke City South Area #7 ***
Height: 99.7
Floors: 35
Status: Completed
Started: 2014
Completed: 2017
Functions: residential
Rank: 204

*** Vanke City South Area #8 ***
Height: 99.7
Floors: 35
Status: Completed
Started: 2014
Completed: 2017
Functions: residential
Rank: 204

*** Vanke City North Area #21 ***
Height: 99.69
Floors: 35
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 210

*** Longguang Royal Lake Sunshine 3 ***
Height: 99.69
Floors: 30
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 211

*** Haoyuefu 18# ***
Height: 99.6
Floors: 34
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 212

*** Haoyuefu 6# ***
Height: 99.6
Floors: 34
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 212

*** Haoyuefu 7# ***
Height: 99.6
Floors: 34
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 212

*** Haoyuefu 8# ***
Height: 99.6
Floors: 34
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 212

*** Guang Investment Xin Environment ***
Height: 99.5
Floors: 25
Status: Structurally Topped Out
Started: 2015
Completed: 2018
Functions: office
Rank: 216

*** Huarun Jiacheng Five Elephants #2 ***
Height: 99.4
Floors: 33
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 217

*** Longguang Royal Lake Sunshine 25 ***
Height: 99.15
Floors: 30
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 218

*** Longguang Royal Lake Sunshine 28 ***
Height: 99.15
Floors: 30
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 218

*** Longguang Royal Lake Sunshine 29 ***
Height: 99.15
Floors: 30
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 218

*** Longguang Royal Lake Sunshine 6 ***
Height: 99.15
Floors: 30
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 218

*** Longguang Royal Lake Sunshine 7 ***
Height: 99.15
Floors: 30
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 218

*** Rong and Banyan Mountain #12 ***
Height: 99
Floors: 32
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 223

*** Rong and Banyan Mountain #1B ***
Height: 99
Floors: 32
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 223

*** Rong and Banyan Mountain #5A ***
Height: 99
Floors: 32
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 223

*** Vanke City North Area #22 ***
Height: 98.99
Floors: 34
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 226

*** Haoyuefu 11# ***
Height: 98.9
Floors: 33
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 227

*** Haoyuefu 16# ***
Height: 98.9
Floors: 33
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 227

*** Haoyuefu 17# ***
Height: 98.9
Floors: 33
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 227

*** Haoyuefu 3# ***
Height: 98.9
Floors: 33
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 227

*** Haoyuefu 5# ***
Height: 98.9
Floors: 33
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 227

*** Grand Gateway Huijin ***
Height: 98.87
Floors: 21
Status: Completed
Started: 2015
Completed: 2017
Functions: office
Rank: 232

*** Vanke City North Area #6 ***
Height: 98.84
Floors: 35
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 233

*** Longgang Tang Fruit #8 ***
Height: 98.8
Floors: 32
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 234

*** Haoyuefu 10# ***
Height: 98.55
Floors: 33
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 235

*** Haoyuefu 9# ***
Height: 98.55
Floors: 33
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 235

*** Longguang Royal Lake Sunshine 10 ***
Height: 98.55
Floors: 30
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 237

*** Longguang Royal Lake Sunshine 11 ***
Height: 98.55
Floors: 30
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 237

*** Longguang Royal Lake Sunshine 14 ***
Height: 98.55
Floors: 30
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 237

*** Longguang Royal Lake Sunshine 9 ***
Height: 98.55
Floors: 30
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 237

*** Vanke City North Area #7 ***
Height: 98.44
Floors: 34
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 241

*** Silver Spring Yitian #1 ***
Height: 98.2
Floors: 32
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 242

*** Longguang Royal Lake Sunshine 2 ***
Height: 97.59
Floors: 29
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 243

*** Longgang Tang Fruit #3 ***
Height: 97.45
Floors: 33
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 244

*** Guang Investment Xin Environment B ***
Height: 97.2
Floors: 31
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 245

*** Guang Investment Xin Environment C ***
Height: 97.2
Floors: 31
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 245

*** Silver Spring Yitian #5 ***
Height: 97.1
Floors: 32
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 247

*** Huafa Guobin One 10#  ***
Height: 96.8
Floors: 31
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 248

